name,description,website,product_id,language,url,crawl_date,range
,,Aventon,pace500-3-step-through-ebike,en-US,https://www.aventon.com/products/pace500-3-step-through-ebike,2025-05-22T15:10:34.387887,
,,Aventon,abound-ebike,en-US,https://www.aventon.com/products/abound-ebike,2025-05-22T15:10:37.322917,
,,Aventon,pace-4-step-through-ebike,en-US,https://www.aventon.com/products/pace-4-step-through-ebike,2025-05-22T15:10:39.892872,"150cm - 170cm (4'11"" - 5'7"")"
,,Aventon,aventure-3-step-through-ebike,en-US,https://www.aventon.com/products/aventure-3-step-through-ebike,2025-05-22T15:10:42.495541,"150cm - 170cm (4'11"" - 5'7"")"
,,Aventon,aventure-3-ebike,en-US,https://www.aventon.com/products/aventure-3-ebike,2025-05-22T15:10:45.030500,"160cm - 175cm (5'3"" - 5'10"")"
,,Aventon,level-3-commuter-ebike,en-US,https://www.aventon.com/products/level-3-commuter-ebike,2025-05-22T15:10:47.438730,"160cm - 175 cm (5'3 - 5'10"")"
,,Aventon,ramblas-electric-mountain-bike,en-US,https://www.aventon.com/products/ramblas-electric-mountain-bike,2025-05-22T15:10:50.028916,"155 - 165 cm 5'1"" - 5'5"""
,,Aventon,sinch2-ebike,en-US,https://www.aventon.com/products/sinch2-ebike,2025-05-22T15:10:52.535245,
,,Aventon,abound-lr-ebike,en-US,https://www.aventon.com/products/abound-lr-ebike,2025-05-22T15:10:55.043523,"150cm - 198cm (4'11""-6'3"")"
,,Aventon,aventure2-ebike,en-US,https://www.aventon.com/products/aventure2-ebike,2025-05-22T15:10:57.692335,
,,Aventon,aventon-level-step-through-commuter-ebike,en-US,https://www.aventon.com/products/aventon-level-step-through-commuter-ebike,2025-05-22T15:11:00.386947,
,,Aventon,sinch-2-5-ebike,en-US,https://www.aventon.com/products/sinch-2-5-ebike,2025-05-22T15:11:02.867298,
,,Aventon,aventure2-step-through-ebike,en-US,https://www.aventon.com/products/aventure2-step-through-ebike,2025-05-22T15:11:05.606323,
,,Aventon,pace500-3-ebike,en-US,https://www.aventon.com/products/pace500-3-ebike,2025-05-22T15:11:08.500789,
,,Aventon,soltera-2-5-ebike,en-US,https://www.aventon.com/products/soltera-2-5-ebike,2025-05-22T15:11:10.971593,
,,Aventon,level-3-step-through-commuter-ebike,en-US,https://www.aventon.com/products/level-3-step-through-commuter-ebike,2025-05-22T15:11:13.561252,"150 - 170 cm (4'11 - 5'7"")"
,,Aventon,abound-sr-ebike,en-US,https://www.aventon.com/products/abound-sr-ebike,2025-05-22T15:11:16.038946,
,,Aventon,aventon-level-commuter-ebike,en-US,https://www.aventon.com/products/aventon-level-commuter-ebike,2025-05-22T15:11:18.656086,
