name,description,website,product_id,language,url,crawl_date,range
,,Aventon,aventon-level-step-through-commuter-ebike,en-US,https://www.aventon.com/products/aventon-level-step-through-commuter-ebike,2025-05-22T15:23:32.585505,
,,Aventon,soltera-2-5-ebike,en-US,https://www.aventon.com/products/soltera-2-5-ebike,2025-05-22T15:23:34.858918,
,,Aventon,sinch-2-5-ebike,en-US,https://www.aventon.com/products/sinch-2-5-ebike,2025-05-22T15:23:37.323371,
,,Aventon,abound-ebike,en-US,https://www.aventon.com/products/abound-ebike,2025-05-22T15:23:39.914476,
,,Aventon,abound-lr-ebike,en-US,https://www.aventon.com/products/abound-lr-ebike,2025-05-22T15:23:42.291123,"150cm - 198cm (4'11""-6'3"")"
,,Aventon,level-3-step-through-commuter-ebike,en-US,https://www.aventon.com/products/level-3-step-through-commuter-ebike,2025-05-22T15:23:44.681567,"150 - 170 cm (4'11 - 5'7"")"
,,Aventon,pace500-3-step-through-ebike,en-US,https://www.aventon.com/products/pace500-3-step-through-ebike,2025-05-22T15:23:47.385999,
,,Aventon,pace500-3-ebike,en-US,https://www.aventon.com/products/pace500-3-ebike,2025-05-22T15:23:49.837031,
,,Aventon,aventure-3-step-through-ebike,en-US,https://www.aventon.com/products/aventure-3-step-through-ebike,2025-05-22T15:23:52.143903,"150cm - 170cm (4'11"" - 5'7"")"
,,Aventon,aventure2-ebike,en-US,https://www.aventon.com/products/aventure2-ebike,2025-05-22T15:23:54.682966,
,,Aventon,aventon-level-commuter-ebike,en-US,https://www.aventon.com/products/aventon-level-commuter-ebike,2025-05-22T15:23:57.058283,
,,Aventon,sinch2-ebike,en-US,https://www.aventon.com/products/sinch2-ebike,2025-05-22T15:23:59.488941,
,,Aventon,level-3-commuter-ebike,en-US,https://www.aventon.com/products/level-3-commuter-ebike,2025-05-22T15:24:01.799785,"160cm - 175 cm (5'3 - 5'10"")"
,,Aventon,aventure-3-ebike,en-US,https://www.aventon.com/products/aventure-3-ebike,2025-05-22T15:24:04.091468,"160cm - 175cm (5'3"" - 5'10"")"
,,Aventon,aventure2-step-through-ebike,en-US,https://www.aventon.com/products/aventure2-step-through-ebike,2025-05-22T15:24:06.494751,
,,Aventon,abound-sr-ebike,en-US,https://www.aventon.com/products/abound-sr-ebike,2025-05-22T15:24:09.005214,
,,Aventon,pace-4-step-through-ebike,en-US,https://www.aventon.com/products/pace-4-step-through-ebike,2025-05-22T15:24:11.462755,"150cm - 170cm (4'11"" - 5'7"")"
,,Aventon,ramblas-electric-mountain-bike,en-US,https://www.aventon.com/products/ramblas-electric-mountain-bike,2025-05-22T15:24:13.892000,"155 - 165 cm 5'1"" - 5'5"""
