name,price,description,website,product_id,language,url,crawl_date,battery,motor_type,weight
Engine Pro 2.0 Combo,2348.0,"1200W (peak),Outdoor adventure folding e-bike",Engwe US,engwe-engine-pro-2-0-combo,en-US,https://engwe-bikes.com/collections/all-ebikes/products/engwe-engine-pro-2-0-combo,2025-05-22T16:44:33.550161,,,
Engwe EP-2 Pro,849.0,960W(Peak) 50+miles Front Suspension Foldable E-bike,Engwe US,engwe-ep-2-pro-750w-folding-electric-mountain-bike,en-US,https://engwe-bikes.com/collections/all-ebikes/products/engwe-ep-2-pro-750w-folding-electric-mountain-bike,2025-05-22T16:44:35.329971,,,
ENGWE LE20,1299.0,1300W Peak Torque sensor Step-Thru Cargo Ebike,Engwe US,le20,en-US,https://engwe-bikes.com/collections/all-ebikes/products/le20,2025-05-22T16:44:37.237245,,,
L20 (Battery Pack),1249.98,L20 + 1 EXTRA BATTERY,Engwe US,l20-battery-pack,en-US,https://engwe-bikes.com/collections/all-ebikes/products/l20-battery-pack,2025-05-22T16:44:38.986894,,,
ENGWE X26,1649.0,1200W(Peak) 93 miles Triple Suspension Foldable E-bike,Engwe US,x26,en-US,https://engwe-bikes.com/collections/all-ebikes/products/x26,2025-05-22T16:44:40.786795,19.2Ah + 10Ah,Spoke Motor with 1000W power,
L20 2.0 Combo,1548.0,L20 2.0 x2,Engwe US,engwe-l20-2-0-combo,en-US,https://engwe-bikes.com/collections/all-ebikes/products/engwe-l20-2-0-combo,2025-05-22T16:44:42.633942,52V 13Ah,750W 52V 75N.m,68.3lb
ENGWE Y600,599.0,830W 70 km Range Seated E-Scooter,Engwe US,engwe-y600,en-US,https://engwe-bikes.com/collections/all-ebikes/products/engwe-y600,2025-05-22T16:44:44.393629,,,
ENGWE M20 (Battery Pack),1299.0,M20（Dual Batteries） + 1 EXTRA BATTERY,Engwe US,engwe-m20-battery-pack,en-US,https://engwe-bikes.com/collections/all-ebikes/products/engwe-m20-battery-pack,2025-05-22T16:44:46.043784,,,
Engwe E26,1099.0,1000W(Peak) 87 miles Dual Suspension All-Terrain E-bike,Engwe US,engwe-e26,en-US,https://engwe-bikes.com/collections/all-ebikes/products/engwe-e26,2025-05-22T16:44:47.753882,,,
E26 Step-Thru Combo,2148.0,1000W(Peak) 87 miles Dual Suspension All-Terrain E-bike,Engwe US,e26-combo,en-US,https://engwe-bikes.com/collections/all-ebikes/products/e26-combo,2025-05-22T16:44:49.449117,,,
ENGWE L20 2.0,799.0,750W 75N.m 68 Miles Step-Thru Utility E-bike（Front Basket Excluded）,Engwe US,l20-2-0,en-US,https://engwe-bikes.com/collections/all-ebikes/products/l20-2-0,2025-05-22T16:44:51.249214,52V 13Ah,750W 52V 75N.m,68.3lb
Engine Pro 2.0,1199.0,"1200W (peak),Outdoor adventure folding e-bike",Engwe US,engwe-engine-pro-2-0,en-US,https://engwe-bikes.com/collections/all-ebikes/products/engwe-engine-pro-2-0,2025-05-22T16:44:53.546295,,,
Engwe L20,849.0,960W(Peak) 90 miles Front Suspension Step-Thru E-bike,Engwe US,l20,en-US,https://engwe-bikes.com/collections/all-ebikes/products/l20,2025-05-22T16:44:55.323785,,,
X26/24/X20,1499.0,1200W(Peak) 93 miles Triple Suspension Foldable E-bike,Engwe US,engwe-x26-x24-x20,en-US,https://engwe-bikes.com/collections/all-ebikes/products/engwe-x26-x24-x20,2025-05-22T16:44:57.047174,19.2Ah + 10Ah,Hub Motor with 1000W power,
ENGWE M20 2.0,999.0,1200W Peak 80 miles +80 miles Full Suspension Double Range E-bike,Engwe US,m20-2-0,en-US,https://engwe-bikes.com/collections/all-ebikes/products/m20-2-0,2025-05-22T16:44:59.248274,,,
Engwe EP-2 Pro (Battery Pack),949.0,EP-2 Pro + 1 EXTRA BATTERY,Engwe US,us-ep-2-pro-gift-pack-750w-folding-electric-mountain-bike,en-US,https://engwe-bikes.com/collections/all-ebikes/products/us-ep-2-pro-gift-pack-750w-folding-electric-mountain-bike,2025-05-22T16:45:01.018491,,,
ENGWE X20,1099.0,1000W(Peak) 93 miles Triple Suspension Foldable E-bike,Engwe US,engwe-x20,en-US,https://engwe-bikes.com/collections/all-ebikes/products/engwe-x20,2025-05-22T16:45:02.686795,19.2Ah + 10Ah,Spoke Motor with 1000W power,
ENGWE X24,1499.0,1200W(Peak) 93 miles Triple Suspension Foldable E-bike,Engwe US,engwe-x24,en-US,https://engwe-bikes.com/collections/all-ebikes/products/engwe-x24,2025-05-22T16:45:04.476538,19.2Ah + 10Ah,Hub Motor with 1000W power,
ENGWE M20,1199.0,1000W(Peak) 47 miles+47 miles Dual Suspension Long Range E-bike,Engwe US,m20,en-US,https://engwe-bikes.com/collections/all-ebikes/products/m20,2025-05-22T16:45:06.183961,,,
ENGWE Y400,479.0,750W 40 km Range E-Scooter,Engwe US,engwe-y400,en-US,https://engwe-bikes.com/collections/all-ebikes/products/engwe-y400,2025-05-22T16:45:07.869109,,,
M20 Combo,2148.0,M20 x2,Engwe US,m20-combo,en-US,https://engwe-bikes.com/collections/all-ebikes/products/m20-combo,2025-05-22T16:45:09.760698,,,
