name,description,website,product_id,language,url,crawl_date,range
,,Aventon,sinch-2-5-ebike,en-US,https://www.aventon.com/products/sinch-2-5-ebike,2025-05-23T02:20:08.545940,
,,Aventon,aventure2-step-through-ebike,en-US,https://www.aventon.com/products/aventure2-step-through-ebike,2025-05-23T02:20:10.554457,
,,Aventon,soltera-2-5-ebike,en-US,https://www.aventon.com/products/soltera-2-5-ebike,2025-05-23T02:20:12.668870,
,,Aventon,abound-sr-ebike,en-US,https://www.aventon.com/products/abound-sr-ebike,2025-05-23T02:20:18.649298,
,,Aventon,aventon-level-commuter-ebike,en-US,https://www.aventon.com/products/aventon-level-commuter-ebike,2025-05-23T02:20:20.935998,
,,Aventon,pace500-3-step-through-ebike,en-US,https://www.aventon.com/products/pace500-3-step-through-ebike,2025-05-23T02:20:23.441103,
,,Aventon,pace500-3-ebike,en-US,https://www.aventon.com/products/pace500-3-ebike,2025-05-23T02:20:25.344456,
,,Aventon,aventure-3-ebike,en-US,https://www.aventon.com/products/aventure-3-ebike,2025-05-23T02:20:27.066832,"160cm - 175cm (5'3"" - 5'10"")"
,,Aventon,aventon-level-step-through-commuter-ebike,en-US,https://www.aventon.com/products/aventon-level-step-through-commuter-ebike,2025-05-23T02:20:34.007804,
,,Aventon,level-3-commuter-ebike,en-US,https://www.aventon.com/products/level-3-commuter-ebike,2025-05-23T02:20:35.801431,"160cm - 175 cm (5'3 - 5'10"")"
,,Aventon,sinch2-ebike,en-US,https://www.aventon.com/products/sinch2-ebike,2025-05-23T02:20:37.851824,
,,Aventon,aventure2-ebike,en-US,https://www.aventon.com/products/aventure2-ebike,2025-05-23T02:20:40.540282,
,,Aventon,abound-ebike,en-US,https://www.aventon.com/products/abound-ebike,2025-05-23T02:20:42.278853,
,,Aventon,abound-lr-ebike,en-US,https://www.aventon.com/products/abound-lr-ebike,2025-05-23T02:20:43.909592,"150cm - 198cm (4'11""-6'3"")"
,,Aventon,ramblas-electric-mountain-bike,en-US,https://www.aventon.com/products/ramblas-electric-mountain-bike,2025-05-23T02:20:46.375655,"155 - 165 cm 5'1"" - 5'5"""
,,Aventon,pace-4-step-through-ebike,en-US,https://www.aventon.com/products/pace-4-step-through-ebike,2025-05-23T02:20:48.068776,"150cm - 170cm (4'11"" - 5'7"")"
,,Aventon,aventure-3-step-through-ebike,en-US,https://www.aventon.com/products/aventure-3-step-through-ebike,2025-05-23T02:20:49.768046,"150cm - 170cm (4'11"" - 5'7"")"
,,Aventon,level-3-step-through-commuter-ebike,en-US,https://www.aventon.com/products/level-3-step-through-commuter-ebike,2025-05-23T02:20:51.557096,"150 - 170 cm (4'11 - 5'7"")"
